epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,3.91785,10.81302,29.87220,3.72867,13.32000,36.22000
002,3.28602,21.23584,47.45321,3.86112,16.38000,39.48000
003,2.94189,27.97988,56.05480,3.75033,18.80000,45.64000
004,2.68998,33.34081,61.82216,2.73418,30.86000,61.06000
005,2.49743,37.46929,66.08663,2.54353,36.36000,66.84000
006,2.34292,40.63577,69.40302,2.77564,36.14000,64.93999
007,2.22380,43.29614,71.64227,2.33801,41.62000,69.82000
008,2.11238,45.76334,73.80581,2.22959,44.42000,73.66000
009,2.01326,48.21663,75.52273,2.13600,45.86000,75.84000
010,1.92393,50.26426,77.13997,1.86101,51.46000,78.96000
011,1.85859,52.04995,78.15219,1.81740,52.12000,80.07999
012,1.79273,53.59610,79.31200,1.70068,54.94000,81.68000
013,1.72827,55.09280,80.39145,1.55120,58.70000,85.12000
014,1.68686,56.05944,81.00342,1.61583,57.50000,83.24000
015,1.64152,57.16284,81.81474,1.52736,59.98000,85.14000
016,1.59692,58.19824,82.38731,1.65116,57.16000,84.82000
017,1.56114,59.22747,83.02632,1.36498,63.36000,86.93999
018,1.52682,59.97620,83.43893,1.60941,57.22000,83.70000
019,1.48807,60.83698,84.21394,1.39642,63.28000,86.54000
020,1.46738,61.42577,84.39166,1.42234,62.18000,86.07999
021,1.43104,62.35995,84.97350,1.32515,64.88000,87.32000
022,1.40521,63.03219,85.35984,1.42119,62.86000,86.64000
023,1.38116,63.59780,85.60633,1.44412,62.68000,86.66000
024,1.36313,64.12091,85.76859,1.20070,67.74000,89.42000
025,1.34247,64.57216,86.14799,1.36730,63.30000,86.80000
026,1.31595,65.28844,86.59306,1.32250,66.52000,87.66000
027,1.29696,65.67634,86.70432,1.12305,70.18000,90.50000
028,1.28139,66.06191,87.09144,1.16486,68.56000,89.46000
029,1.25928,66.67774,87.27689,1.12679,69.72000,90.24000
030,1.24231,67.12513,87.48706,1.21313,67.70000,89.50000
031,1.22881,67.47902,87.67019,1.27085,66.54000,87.74000
032,1.21808,67.71701,87.86877,1.06658,71.02000,90.96000
033,1.19590,68.27412,88.22266,1.06435,71.80000,90.75999
034,1.17988,68.63419,88.32620,1.20770,68.14000,89.38000
035,1.16201,69.18899,88.47997,1.01535,73.24000,91.18000
036,1.15106,69.33889,88.82227,0.94766,74.32000,91.96000
037,1.13752,69.82645,88.93353,1.03553,72.60000,90.78000
038,1.11982,70.11853,89.06103,0.97581,73.86000,92.04000
039,1.10564,70.55665,89.37860,1.04834,71.32000,91.56000
040,1.10576,70.35575,89.36238,1.05846,71.58000,91.16000
041,1.08589,70.97931,89.61814,1.10291,70.96000,90.66000
042,1.06995,71.39424,89.76958,1.09566,71.20000,90.36000
043,1.05945,71.73654,89.88858,1.02824,72.40000,91.38000
044,1.04746,72.04330,90.08948,0.91647,75.02000,92.57999
045,1.03302,72.39333,90.29347,0.93921,75.08000,91.86000
046,1.02325,72.54246,90.36919,1.08618,71.42000,90.66000
047,1.01485,72.72327,90.53764,0.98228,74.04000,91.84000
048,0.99990,73.13280,90.74936,0.86089,76.88000,93.18000
049,0.99145,73.44342,90.70686,0.96485,74.40000,92.20000
050,0.97605,73.68527,90.98039,0.93086,75.72000,92.82000
051,0.96850,73.94721,91.06384,0.92581,74.75999,92.88000
052,0.95684,74.29956,91.21220,0.87767,76.70000,93.10000
053,0.93818,74.65190,91.46719,0.87528,76.50000,92.89999
054,0.93061,75.07070,91.51741,0.81286,78.56000,93.72000
055,0.91962,75.23142,91.65572,0.81015,78.43999,93.78000
056,0.91308,75.41068,91.74535,0.81931,78.52000,93.88000
057,0.90063,75.64481,91.90376,0.92754,75.96000,92.46000
058,0.88666,76.11383,91.99879,0.84427,77.74000,93.57999
059,0.87244,76.54113,92.17651,0.83741,78.00000,93.46000
060,0.86012,76.81698,92.29396,0.83689,78.22000,92.88000
